category,item,similarity,distance
Physics,Levitation,0.49940133,0.50059867
Physics,Jitter,0.34510106,0.65489894
Physics,Sinking,0.3037113,0.6962887
Physics,Ragdoll,0.25623623,0.7437638
Physics,Stuck,0.22121073,0.7787893
Physics,Clipping,0.14508608,0.85491395
Texture,Missing texture,0.7137042,0.28629577
Texture,Visible Stretching,0.5042658,0.4957342
Texture,Visible corruption,0.27455568,0.7254443
Texture,Z-Fighting,0.23078153,0.76921844
Modeling,Vertex spike,0.31120616,0.68879384
Modeling,Vertex Tear,0.26851687,0.7314831
Modeling,Missing,0.16240594,0.83759403
Animation,Sliding,0.39708924,0.60291076
Animation,A-pose,0.36192092,0.63807905
Animation,T-pose,0.28741235,0.71258765
Animation,Frozen,0.26798776,0.7320123
Animation,Joint hyperextension,0.13580158,0.86419845
Sound,Noise,0.79278713,0.20721287
Sound,Missing sound,0.76023436,0.23976564
Sound,Abrupt Volume Change,0.37152725,0.62847275
Sound,Desync,0.33171996,0.66828
Sound,Loop,0.21052524,0.7894747
UI,Visual layout,0.5259379,0.4740621
UI,Incorrect data display,0.41301012,0.5869899
UI,Overlap,0.33213133,0.6678687
UI,Text overflow,0.18348595,0.816514
AI,Non-reactive,0.34982184,0.6501782
AI,Pathfinding failure,0.1697894,0.83021057
Rendering,Tearing,0.39976776,0.60023224
Rendering,Object culling,0.3586051,0.6413949
Rendering,Shadow,0.34590733,0.65409267
Rendering,LOD,0.29967105,0.70032895
Rendering,Lighting,0.2726149,0.7273851
Rendering,Z-fighting,0.22135672,0.77864325
Camera,Camera clipping,0.82907355,0.17092645
Camera,Erratic movement,0.27206573,0.72793424
Performance,Visible loading delay,0.3592211,0.6407789
Performance,Stuttering,0.35130677,0.6486932
Performance,Fps drop,0.24234146,0.75765854
Performance,Freezing,0.14381169,0.8561883
